inc_number,customer,region,product,quantity,price,total_amount,order_date,status,department,priority,severity
INC076,Alice,North,Laptop,1,1394,1394,2025-03-18,Pending,Finance,P4,Medium
INC077,Chris,North,Laptop,3,883,2649,2025-03-19,Pending,Support,P1,High
INC078,Emma,South,Mobile,1,1242,1242,2025-03-20,Pending,Logistics,P1,High
INC079,Olivia,West,Laptop,5,961,4805,2025-03-21,Pending,Support,P3,Medium
INC080,Sophia,East,Tablet,51,1292,65892,2025-03-22,New,Sales,P3,Medium
INC081,Chris,West,Mobile,7,1481,10367,2025-03-23,In Progress,Support,P5,Low
INC082,Olivia,East,Tablet,7,1146,8022,2025-03-24,Pending,Support,P4,Medium
INC083,Ethan,East,Laptop,8,1432,11456,2025-03-25,New,Finance,P3,Medium
INC084,John,South,Tablet,1,578,578,2025-03-26,Resolved,Finance,P2,High
INC085,Alice,West,Laptop,7,846,5922,2025-03-27,Pending,Logistics,P1,High
INC086,Bob,West,Tablet,8,1365,10920,2025-03-28,Resolved,Support,P2,High
INC087,John,North,Tablet,10,611,6110,2025-03-29,Resolved,Support,P3,Medium
INC088,David,North,Mobile,1,1191,1191,2025-03-30,Resolved,Finance,P5,Low
INC089,Noah,East,Tablet,7,558,3906,2025-03-31,Pending,Support,P1,High
INC090,John,East,Mobile,6,632,3792,2025-04-01,New,Finance,P1,High
INC091,Alice,South,Laptop,3,425,1275,2025-04-02,New,Logistics,P5,Low
INC092,Sophia,North,Laptop,5,472,2360,2025-04-03,In Progress,Logistics,P4,Medium
INC093,Bob,East,Tablet,5,898,4490,2025-04-04,New,Logistics,P3,Medium
INC094,Bob,North,Tablet,10,802,8020,2025-04-05,Resolved,Finance,P4,Medium
INC095,David,East,Mobile,9,1446,13014,2025-04-06,Pending,Support,P3,Medium
INC096,Olivia,South,Mobile,4,1108,4432,2025-04-07,In Progress,Logistics,P4,Medium
INC097,Alice,East,Laptop,6,883,5298,2025-04-08,New,Sales,P4,Medium
INC098,Emma,West,Laptop,2,594,1188,2025-04-09,Resolved,Sales,P3,Medium
INC099,Ava,East,Mobile,6,430,2580,2025-04-10,New,Sales,P5,Low
INC100,Chris,East,Tablet,94,1036,97384,2025-04-11,In Progress,Finance,P5,Low
INC101,Chris,South,Tablet,1,1244,1244,2025-04-12,New,Logistics,P3,Medium
INC102,Emma,East,Mobile,4,880,3520,2025-04-13,In Progress,Sales,P3,Medium
INC103,Olivia,West,Laptop,1,1145,1145,2025-04-14,Pending,Support,P4,Medium
INC104,John,North,Tablet,5,1039,5195,2025-04-15,In Progress,Support,P2,High
INC105,Noah,South,Tablet,7,1032,7224,2025-04-16,Pending,Logistics,P2,High
INC106,Olivia,North,Tablet,3,793,2379,2025-04-17,Pending,Logistics,P3,Medium
INC107,Ava,South,Laptop,1,644,644,2025-04-18,New,Sales,P5,Low
INC108,Alice,West,Tablet,10,329,3290,2025-04-19,In Progress,Sales,P3,Medium
INC109,Bob,East,Mobile,5,621,3105,2025-04-20,Pending,Logistics,P1,High
INC110,Ethan,East,Laptop,3,1075,3225,2025-04-21,New,Logistics,P2,High
INC111,David,South,Mobile,2,634,1268,2025-04-22,New,Logistics,P3,Medium
INC112,Liam,South,Mobile,3,1274,3822,2025-04-23,Resolved,Sales,P3,Medium
INC113,Bob,West,Laptop,9,1136,10224,2025-04-24,In Progress,Sales,P1,High
INC114,Emma,North,Laptop,7,1197,8379,2025-04-25,Pending,Finance,P1,High
INC115,Sophia,East,Tablet,6,1222,7332,2025-04-26,In Progress,Sales,P3,Medium
INC116,Bob,West,Tablet,2,631,1262,2025-04-27,New,Sales,P1,High
INC117,Bob,South,Mobile,4,648,2592,2025-04-28,New,Logistics,P3,Medium
INC118,Ava,West,Mobile,10,1397,13970,2025-04-29,New,Sales,P1,High
INC119,John,East,Tablet,8,365,2920,2025-04-30,Resolved,Finance,P5,Low
INC120,Alice,East,Tablet,98,1219,119462,2025-05-01,New,Sales,P1,High
INC121,Mia,North,Mobile,2,500,1000,2025-05-02,In Progress,Logistics,P5,Low
INC122,Bob,East,Tablet,9,206,1854,2025-05-03,In Progress,Logistics,P1,High
INC123,Sophia,South,Tablet,10,691,6910,2025-05-04,New,Logistics,P3,Medium
INC124,Alice,East,Tablet,7,668,4676,2025-05-05,Resolved,Logistics,P1,High
INC125,Liam,South,Mobile,4,217,868,2025-05-06,New,Finance,P5,Low
INC126,Mia,South,Mobile,3,977,2931,2025-05-07,In Progress,Sales,P5,Low
INC127,David,East,Mobile,10,1475,14750,2025-05-08,New,Logistics,P5,Low
INC128,David,West,Mobile,1,627,627,2025-05-09,New,Support,P4,Medium
INC129,Bob,West,Laptop,2,1455,2910,2025-05-10,Resolved,Finance,P2,High
INC130,Alice,East,Tablet,8,591,4728,2025-05-11,Resolved,Finance,P4,Medium
INC131,John,North,Mobile,6,853,5118,2025-05-12,Pending,Logistics,P2,High
INC132,Emma,South,Laptop,1,1056,1056,2025-05-13,New,Finance,P5,Low
INC133,Olivia,West,Tablet,1,727,727,2025-05-14,In Progress,Support,P4,Medium
INC134,Emma,West,Mobile,4,1417,5668,2025-05-15,Resolved,Sales,P5,Low
INC135,Ava,East,Laptop,8,864,6912,2025-05-16,In Progress,Finance,P2,High
INC136,Noah,South,Tablet,1,1402,1402,2025-05-17,New,Support,P1,High
INC137,Emma,East,Laptop,8,206,1648,2025-05-18,Resolved,Logistics,P1,High
INC138,Sophia,West,Mobile,2,672,1344,2025-05-19,Resolved,Finance,P1,High
INC139,Chris,North,Laptop,2,1406,2812,2025-05-20,New,Finance,P4,Medium
INC140,Ava,South,Mobile,88,1318,115984,2025-05-21,Resolved,Support,P2,High
INC141,Bob,North,Tablet,5,569,2845,2025-05-22,In Progress,Finance,P3,Medium
INC142,Mia,West,Mobile,3,272,816,2025-05-23,Pending,Finance,P1,High
INC143,John,West,Tablet,2,292,584,2025-05-24,Resolved,Support,P2,High
INC144,Emma,West,Tablet,10,601,6010,2025-05-25,New,Finance,P4,Medium
INC145,Ethan,West,Tablet,4,1200,4800,2025-05-26,Resolved,Support,P5,Low
INC146,Alice,West,Tablet,2,1467,2934,2025-05-27,Pending,Logistics,P1,High
INC147,Ava,South,Tablet,2,1039,2078,2025-05-28,Pending,Finance,P5,Low
INC148,Ava,East,Mobile,6,890,5340,2025-05-29,New,Sales,P1,High
INC149,Ava,East,Mobile,10,845,8450,2025-05-30,Resolved,Finance,P3,Medium
INC150,John,West,Mobile,4,1334,5336,2025-05-31,New,Support,P2,High
INC151,Ethan,North,Tablet,7,1289,9023,2025-06-01,New,Finance,P1,High
INC152,Chris,South,Mobile,3,516,1548,2025-06-02,In Progress,Support,P3,Medium
INC153,Emma,South,Tablet,1,568,568,2025-06-03,New,Support,P4,Medium
INC154,John,East,Laptop,4,529,2116,2025-06-04,Resolved,Sales,P3,Medium
INC155,David,West,Tablet,9,968,8712,2025-06-05,Pending,Logistics,P1,High
INC156,Noah,West,Tablet,5,1221,6105,2025-06-06,New,Support,P2,High
INC157,Liam,South,Laptop,2,1446,2892,2025-06-07,Resolved,Logistics,P1,High
INC158,Ava,North,Tablet,3,624,1872,2025-06-08,Resolved,Logistics,P4,Medium
INC159,Chris,East,Laptop,9,242,2178,2025-06-09,Pending,Sales,P5,Low
INC160,Ethan,South,Tablet,78,1063,82914,2025-06-10,In Progress,Support,P1,High
INC161,Liam,South,Mobile,6,533,3198,2025-06-11,In Progress,Sales,P2,High
INC162,Chris,East,Tablet,1,922,922,2025-06-12,Pending,Logistics,P4,Medium
INC163,Olivia,East,Tablet,3,1206,3618,2025-06-13,Pending,Sales,P2,High
INC164,Sophia,South,Tablet,9,520,4680,2025-06-14,Pending,Sales,P3,Medium
INC165,Bob,East,Mobile,7,1230,8610,2025-06-15,Pending,Support,P3,Medium
INC166,John,East,Laptop,6,1394,8364,2025-06-16,Resolved,Sales,P5,Low
INC167,John,East,Laptop,5,506,2530,2025-06-17,In Progress,Logistics,P4,Medium
INC168,Bob,East,Mobile,4,1181,4724,2025-06-18,Pending,Finance,P3,Medium
INC169,Olivia,East,Laptop,2,388,776,2025-06-19,Pending,Finance,P1,High
INC170,Emma,East,Mobile,3,1311,3933,2025-06-20,Pending,Support,P4,Medium
INC171,John,East,Tablet,9,794,7146,2025-06-21,Pending,Logistics,P5,Low
INC172,Bob,West,Laptop,5,1377,6885,2025-06-22,In Progress,Finance,P3,Medium
INC173,John,East,Laptop,5,942,4710,2025-06-23,New,Finance,P2,High
INC174,Ava,South,Mobile,5,1397,6985,2025-06-24,In Progress,Logistics,P3,Medium
INC175,Emma,North,Mobile,5,1205,6025,2025-06-25,Resolved,Sales,P4,Medium
INC176,Ava,East,Tablet,8,1014,8112,2025-06-26,Pending,Logistics,P2,High
INC177,Emma,East,Laptop,1,1247,1247,2025-06-27,In Progress,Logistics,P4,Medium
INC178,Sophia,South,Mobile,6,856,5136,2025-06-28,Resolved,Support,P2,High
INC179,Noah,West,Tablet,8,419,3352,2025-06-29,In Progress,Sales,P2,High
INC180,Ava,South,Tablet,58,1089,63162,2025-06-30,Resolved,Sales,P5,Low
INC181,Emma,North,Mobile,5,609,3045,2025-07-01,Pending,Logistics,P3,Medium
INC182,Bob,West,Tablet,3,424,1272,2025-07-02,Pending,Sales,P4,Medium
INC183,Emma,East,Mobile,3,1497,4491,2025-07-03,In Progress,Finance,P4,Medium
INC184,Ava,North,Laptop,3,1157,3471,2025-07-04,Pending,Logistics,P2,High
INC185,Alice,West,Laptop,6,240,1440,2025-07-05,In Progress,Sales,P2,High
INC186,Bob,North,Laptop,6,1391,8346,2025-07-06,Pending,Finance,P4,Medium
INC187,Ethan,East,Tablet,1,580,580,2025-07-07,New,Finance,P1,High
INC188,Olivia,West,Tablet,5,1383,6915,2025-07-08,Pending,Logistics,P4,Medium
INC189,John,South,Laptop,4,1308,5232,2025-07-09,New,Support,P3,Medium
INC190,Alice,North,Mobile,9,1174,10566,2025-07-10,Resolved,Support,P5,Low
INC191,David,West,Mobile,9,241,2169,2025-07-11,In Progress,Logistics,P4,Medium
INC192,Bob,North,Mobile,6,951,5706,2025-07-12,New,Finance,P4,Medium
INC193,Emma,East,Laptop,1,1208,1208,2025-07-13,In Progress,Sales,P3,Medium
INC194,Ethan,East,Tablet,5,618,3090,2025-07-14,Pending,Logistics,P5,Low
INC195,Alice,South,Laptop,9,944,8496,2025-07-15,In Progress,Sales,P5,Low
INC196,John,South,Tablet,9,390,3510,2025-07-16,Pending,Finance,P5,Low
INC197,Liam,North,Laptop,6,473,2838,2025-07-17,Resolved,Support,P5,Low
INC198,Sophia,East,Tablet,2,835,1670,2025-07-18,Pending,Finance,P4,Medium
INC199,Alice,East,Laptop,9,961,8649,2025-07-19,Pending,Finance,P2,High
INC200,Mia,East,Tablet,99,1264,125136,2025-07-20,In Progress,Finance,P1,High
